"filename", "language", "CMake", "YAML", "C++", "Dart", "JSON", "Markdown", "Groovy", "Swift", "XML", "Properties", "JavaScript", "HTML", "comment", "blank", "total"
"/Users/thet3o/Projects/justitis_app/lib/views/menu/menu.dart", "Dart", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 131
"/Users/thet3o/Projects/justitis_app/lib/views/menu/submenu.dart", "Dart", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 84
"/Users/thet3o/Projects/justitis_app/lib/views/myorders.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"/Users/thet3o/Projects/justitis_app/lib/views/wallet.dart", "Dart", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 99
"/Users/thet3o/Projects/justitis_app/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"/Users/thet3o/Projects/justitis_app/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/thet3o/Projects/justitis_app/linux/flutter/generated_plugins.cmake", "CMake", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/thet3o/Projects/justitis_app/linux/main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/thet3o/Projects/justitis_app/linux/my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/thet3o/Projects/justitis_app/linux/my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/thet3o/Projects/justitis_app/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 4, 29
"/Users/thet3o/Projects/justitis_app/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/Users/thet3o/Projects/justitis_app/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/Users/thet3o/Projects/justitis_app/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"/Users/thet3o/Projects/justitis_app/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"/Users/thet3o/Projects/justitis_app/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"/Users/thet3o/Projects/justitis_app/package-lock.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/thet3o/Projects/justitis_app/package.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/thet3o/Projects/justitis_app/pubspec.yaml", "YAML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"/Users/thet3o/Projects/justitis_app/web/auth.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"/Users/thet3o/Projects/justitis_app/web/firebase-messaging-sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 2, 2, 19
"/Users/thet3o/Projects/justitis_app/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 17, 7, 84
"/Users/thet3o/Projects/justitis_app/web/manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
